ConsolAcctID2,SALES,ConsolAcctName,LocAcctAddr2,ConsolAcctCity,ConsolAcctState,ConsolAcctPostalCode,ConsolAcctFilingFreq,ConsolAcctID,SiteCode,LocationAccountType,LocAcctName,Address,LocAcctCity,LocAcctState,LocAcctPostalCode,LocationLiquor,JurisdictionCode,CityLimit,LocationOpen,LocationClose,NaicsCode,Textbox64,Textbox67,Latitude,Longitude,geometry,index_right,Representative,Description,Revenue
MOID: 12187135,SALES,THE GREEK EXCHANGE,111 S 9TH ST STE 100,COLUMBIA,MO,65201-4891,MONTHLY,MOID: 12187135,2,SALES LOCATION,GREEK EXCHANGE THE,111 S 9TH ST,COLUMBIA,MO,65201-4891,No,15670-019-007-0000,Yes,4/1/2012,,448190 - OTHER CLOTHING STORES,"20,222","30,500",38.9502166,-92.3278696,POINT (-92.3278696 38.9502166),2,Valerie Carroll,Valerie Carroll    <br>       <br>   FID   2    <br>   Id   1    <br>   Ward   First    <br>   Ord_num   24957    <br>   Ord_date   3/21/2022    <br>   Rep_Name   Valerie Carroll    <br>   Shape_STAr   111581073.105    <br>   Shape_STLe   64447.575773,31.41594875
MOID: 20815115,SALES,PICKLEMANS,PO BOX 10107,COLUMBIA,MO,65205-4000,MONTHLY,MOID: 20815115,1,SALES LOCATION,PICKLEMANS,2513 OLD 63 S,COLUMBIA,MO,65201-5319,No,15670-019-000-0000,Yes,5/10/2010,,722513 - LIMITED-SERVICE RESTAURANTS,"20,222","30,500",38.9206099,-92.3080553,POINT (-92.3080553 38.9206099),4,Betsy Peters,Betsy Peters    <br>       <br>   FID   5    <br>   Id   6    <br>   Ward   Sixth    <br>   Ord_num   24957    <br>   Ord_date   3/21/2022    <br>   Rep_Name   Betsy Peters    <br>   Shape_STAr   380453832.367    <br>   Shape_STLe   203999.244149,30.64380573
MOID: 20815115,SALES,PICKLEMANS,PO BOX 10107,COLUMBIA,MO,65205-4000,MONTHLY,MOID: 20815115,2,SALES LOCATION,PICKLEMANS,1106 E BROADWAY,COLUMBIA,MO,65201-4910,No,15670-019-007-0000,Yes,4/1/2012,,722513 - LIMITED-SERVICE RESTAURANTS,"20,222","30,500",38.9513485,-92.3249727,POINT (-92.3249727 38.9513485),2,Valerie Carroll,Valerie Carroll    <br>       <br>   FID   2    <br>   Id   1    <br>   Ward   First    <br>   Ord_num   24957    <br>   Ord_date   3/21/2022    <br>   Rep_Name   Valerie Carroll    <br>   Shape_STAr   111581073.105    <br>   Shape_STLe   64447.575773,86.2580554
MOID: 20815115,SALES,PICKLEMANS,PO BOX 10107,COLUMBIA,MO,65205-4000,MONTHLY,MOID: 20815115,3,SALES LOCATION,PICKLEMANS,3103 W BROADWAY STE 109,COLUMBIA,MO,65203-0498,No,15670-019-002-0000,Yes,4/15/2011,,722513 - LIMITED-SERVICE RESTAURANTS,"20,222","30,500",38.955716,-92.3838539,POINT (-92.3838539 38.955716),0,Lisa Meyer,Lisa Meyer    <br>       <br>   FID   0    <br>   Id   2    <br>   Ward   Second    <br>   Ord_num   24957    <br>   Ord_date   3/21/2022    <br>   Rep_Name   Lisa Meyer    <br>   Shape_STAr   335107738.167    <br>   Shape_STLe   182451.831244,71.5010457
MOID: 20815115,SALES,PICKLEMANS,PO BOX 10107,COLUMBIA,MO,65205-4000,MONTHLY,MOID: 20815115,4,SALES LOCATION,PICKLEMANS,304 S 9TH ST,COLUMBIA,MO,65201-5007,No,15670-019-007-0000,Yes,4/1/2016,,722513 - LIMITED-SERVICE RESTAURANTS,"20,222","30,500",38.9482728,-92.3273947,POINT (-92.3273947 38.9482728),2,Valerie Carroll,Valerie Carroll    <br>       <br>   FID   2    <br>   Id   1    <br>   Ward   First    <br>   Ord_num   24957    <br>   Ord_date   3/21/2022    <br>   Rep_Name   Valerie Carroll    <br>   Shape_STAr   111581073.105    <br>   Shape_STLe   64447.575773,39.63769286
MOID: 12748684,SALES,THE DESIGN COMPANY,2316 CHERRY RIDGE CT,COLUMBIA,MO,65203-5742,ANNUAL,MOID: 12748684,3,SALES LOCATION,DESIGN COMPANY THE,2316 CHERRY RIDGE CT,COLUMBIA,MO,65203-5742,No,15670-019-000-0000,Yes,1/1/1996,,444190 - OTHER BUILDING MATERIAL DEALERS,"20,222","30,500",38.9296152,-92.3753187,POINT (-92.3753187 38.9296152),1,Nick Foster,Nick Foster    <br>       <br>   FID   1    <br>   Id   4    <br>   Ward   Fourth    <br>   Ord_num   24957    <br>   Ord_date   3/21/2022    <br>   Rep_Name   Nick Foster    <br>   Shape_STAr   301690029.959    <br>   Shape_STLe   197133.937509,65.57868975
MOID: 15066070,SALES,PA DOUSLIN,104 CLINKSCALES RD ,COLUMBIA,MO,65203-8103,ANNUAL,MOID: 15066070,3,SALES LOCATION,PA DOUSLIN,104 CLINKSCALES RD APT 403,COLUMBIA,MO,65203-8103,No,15670-019-000-0000,Yes,7/1/2020,,"711510 - INDEPENDENT ARTISTS, WRITERS, AND PERFORMERS","20,222","30,500",38.9554083,-92.3615251,POINT (-92.3615251 38.9554083),2,Valerie Carroll,Valerie Carroll    <br>       <br>   FID   2    <br>   Id   1    <br>   Ward   First    <br>   Ord_num   24957    <br>   Ord_date   3/21/2022    <br>   Rep_Name   Valerie Carroll    <br>   Shape_STAr   111581073.105    <br>   Shape_STLe   64447.575773,37.95550624
MOID: 20921641,SALES,GREETINGS FROM EARTH,704 LYON ST,COLUMBIA,MO,65201-4408,ANNUAL,MOID: 20921641,1,SALES LOCATION,GREETINGS FROM EARTH,704 LYON ST,COLUMBIA,MO,65201-4408,No,15670-019-000-0000,Yes,9/1/2010,,"541921 - PHOTOGRAPHY STUDIOS, PORTRAIT","20,222","30,500",38.9555223,-92.3297314,POINT (-92.3297314 38.9555223),2,Valerie Carroll,Valerie Carroll    <br>       <br>   FID   2    <br>   Id   1    <br>   Ward   First    <br>   Ord_num   24957    <br>   Ord_date   3/21/2022    <br>   Rep_Name   Valerie Carroll    <br>   Shape_STAr   111581073.105    <br>   Shape_STLe   64447.575773,35.18976589
MOID: 20921641,SALES,GREETINGS FROM EARTH,704 LYON ST,COLUMBIA,MO,65201-4408,ANNUAL,MOID: 20921641,2,SALES LOCATION,GREETINGS FROM EARTH,SPECIAL EVENT,COLUMBIA,MO,65201,No,15670-019-007-0000,Yes,4/26/2015,,"541921 - PHOTOGRAPHY STUDIOS, PORTRAIT","20,222","30,500",38.9137055,-92.2922832,POINT (-92.2922832 38.9137055),4,Betsy Peters,Betsy Peters    <br>       <br>   FID   5    <br>   Id   6    <br>   Ward   Sixth    <br>   Ord_num   24957    <br>   Ord_date   3/21/2022    <br>   Rep_Name   Betsy Peters    <br>   Shape_STAr   380453832.367    <br>   Shape_STLe   203999.244149,43.21324019
MOID: 20921641,SALES,GREETINGS FROM EARTH,704 LYON ST,COLUMBIA,MO,65201-4408,ANNUAL,MOID: 20921641,6,SALES LOCATION,ELIZABETH V MITCHELL ,126 N 10TH ST,COLUMBIA,MO,65201-4949,No,15670-019-007-0000,Yes,1/1/2023,3/31/2032,"541921 - PHOTOGRAPHY STUDIOS, PORTRAIT","20,222","30,500",38.953282,-92.3261007,POINT (-92.3261007 38.953282),2,Valerie Carroll,Valerie Carroll    <br>       <br>   FID   2    <br>   Id   1    <br>   Ward   First    <br>   Ord_num   24957    <br>   Ord_date   3/21/2022    <br>   Rep_Name   Valerie Carroll    <br>   Shape_STAr   111581073.105    <br>   Shape_STLe   64447.575773,18.85773361
