Name,Block Group,Census Tract,County,State,GEOID10,Ward,Total:,Male:,Under 5 years,5 to 9 years,10 to 14 years,15 to 17 years,18 and 19 years,20 years,21 years,22 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 and 61 years,62 to 64 years,65 and 66 years,67 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over,Female:,Under 5 years,5 to 9 years,10 to 14 years,15 to 17 years,18 and 19 years,20 years,21 years,22 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 and 61 years,62 to 64 years,65 and 66 years,67 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over
"Block Group 1, Census Tract 2, Boone County, Missouri",1,200,19,29,290190000000,,673,415,0,0,0,10,8,0,9,73,71,87,21,41,4,17,24,0,10,4,13,13,0,0,10,258,0,0,0,0,5,0,0,32,74,11,5,26,28,7,35,0,8,5,4,8,0,0,10
"Block Group 2, Census Tract 2, Boone County, Missouri",2,200,19,29,290190002002,,1239,529,16,0,7,6,25,8,74,79,88,41,45,40,6,13,17,3,24,8,15,0,14,0,0,710,3,11,13,0,188,68,65,123,32,93,11,31,19,0,13,14,7,0,12,0,0,0,7
"Block Group 1, Census Tract 3, Boone County, Missouri",1,300,19,29,290190003001,,888,300,0,0,8,9,48,61,79,69,0,4,7,0,0,0,0,0,7,0,0,8,0,0,0,588,0,0,0,7,6,52,235,207,24,0,0,7,4,2,37,0,0,0,0,0,0,0,7
"Block Group 2, Census Tract 3, Boone County, Missouri",2,300,19,29,290190003002,,879,693,0,0,0,0,251,116,135,122,62,0,0,0,0,0,0,0,0,7,0,0,0,0,0,186,0,0,0,0,18,100,42,19,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
"Block Group 3, Census Tract 3, Boone County, Missouri",3,300,19,29,290190003003,,1383,967,0,0,16,1,0,197,278,243,38,0,0,29,34,7,10,0,13,8,16,47,7,0,23,416,8,21,4,0,0,39,77,38,65,7,11,3,8,24,19,9,30,29,0,0,0,16,8
"Block Group 1, Census Tract 5, Boone County, Missouri",1,500,19,29,290190005001,,1802,857,0,0,0,12,367,157,145,75,42,35,0,0,2,0,15,0,7,0,0,0,0,0,0,945,0,3,0,0,351,226,186,159,0,11,0,3,2,2,2,0,0,0,0,0,0,0,0
"Block Group 2, Census Tract 5, Boone County, Missouri",2,500,19,29,290190005002,,1511,1052,0,0,0,0,29,178,286,275,151,33,10,64,0,26,0,0,0,0,0,0,0,0,0,459,0,0,0,0,0,79,277,67,9,0,0,0,0,27,0,0,0,0,0,0,0,0,0
"Block Group 3, Census Tract 5, Boone County, Missouri",3,500,19,29,290190005003,,1388,865,0,0,0,0,36,142,180,128,36,36,10,0,14,24,136,39,30,0,19,0,35,0,0,523,0,0,0,0,96,38,132,87,81,0,0,10,0,0,25,0,39,0,0,15,0,0,0
"Block Group 1, Census Tract 6, Boone County, Missouri",1,600,19,29,290190006001,,1347,655,42,0,46,5,64,9,99,99,0,0,28,3,85,27,47,0,22,0,16,0,15,32,16,692,0,29,0,202,0,16,27,11,0,27,0,4,0,72,215,0,22,16,0,17,14,5,15
"Block Group 2, Census Tract 6, Boone County, Missouri",2,600,19,29,290190006002,,987,451,64,0,43,22,0,0,0,15,36,11,32,20,24,76,47,7,0,0,29,25,0,0,0,536,44,28,92,48,0,0,0,26,46,55,20,0,53,13,41,0,17,0,0,0,27,11,15
